label,C ,C#,D ,D#,E ,F ,F#,G ,G#,A ,A#,B 
A dim,2.4984722688051986,2.0365838850881968,1.0965096462015789,2.09569407948269,2.1487767519885916,1.4945440035931565,1.4148033291049142,1.929387404590469,3.3448960891026487,3.31754815453292,2.0086474495605753,1.589443989026988
A dim,2.7273728256234326,1.8589868129977647,0.8943333343494574,2.1002136899374015,2.017749661042048,1.0831134067556738,0.953513789190724,1.3652475691837553,2.9525677598731384,3.887243912372253,2.220840037122009,1.5942520343457272
A dim,2.769439171323732,1.7126851180375173,0.8926096634281973,1.9695537324314634,1.725350593742621,0.7705921533018475,0.6372380468218992,0.9481006456843574,2.576780088081335,4.0,2.2346112566385017,1.4935784306698916
A dim,2.6886990001617264,1.605995314494895,0.9324446316022523,1.9628202135755888,1.592384780561403,0.6467052419539345,0.4813511352491223,0.7921415477190616,2.403017785228811,4.0,2.2874292590121073,1.4130333160936237
A dim,2.7038110948993794,1.6099319417001774,0.9534262476547752,2.022465122062524,1.6596668373278365,0.6494776464191959,0.4444681621864286,0.7616806105758175,2.426771942650068,4.0,2.2250507667672608,1.299331249660454
A dim,2.7469890072315817,1.6246251137792551,0.9448588622030135,2.13285746981595,1.8051477437952532,0.6536825666505711,0.4203979461583954,0.7364290769018378,2.4529524643764002,4.0,2.123696494511192,1.3550597608281052
A dim,2.7300700699646305,1.5864305341147433,0.9577438023074211,2.0771442442213224,1.712574888647221,0.624015346565776,0.3924212380813083,0.7112616464550526,2.4258169463203774,4.0,2.2019779831325863,1.3515276299435601
A dim,2.797603065207414,1.6486487666069998,0.9529295583099684,2.063461334300089,1.654588014244803,0.6238823149475881,0.3915547077127727,0.7091136552936754,2.4596124470591127,4.0,2.1662565130932006,1.2735183164643173
A dim,2.883445430801336,1.661971792023446,1.0301815864159927,2.123712158156515,1.6911134517489728,0.6392498035125529,0.3984661691686681,0.7138063990099168,2.495258251698669,4.0,2.0803077151301395,1.4062871360359077
A dim,2.899914547760968,1.691724650469013,1.0166466181222886,2.1724647619026207,1.7595052697154356,0.6611565159118032,0.4013464371779391,0.7077475966876872,2.451861720969354,4.0,2.212647440108991,1.4128421648992537
A dim,3.0291292331628434,1.8010131120675523,1.0681312985341767,2.3700550147760824,1.9570975715824743,0.7211487514983446,0.42791736102872335,0.7439238901704704,2.4781849332788886,4.0,2.234671394068639,1.369665120209095
A dim,3.2460465507160947,1.9684371765018411,1.2352893015921698,2.49771023600099,2.01500705675251,0.7854718644107703,0.49392478494095615,0.8359057627264238,2.5410786496740303,4.0,2.22222208314364,1.5994942659363756
A dim,3.387474555372034,2.2104148961426775,1.422509894897914,2.4983838393749176,1.9320327873006784,0.8058408892863148,0.6058312822777032,0.9870328553444988,2.4383756833735255,4.0,2.4674806588577667,1.6849056669966902
A dim,3.484595818731171,2.254215939363648,1.5816566257760687,2.2815137163788335,1.785664466522924,0.9469849060663842,0.8528625584695905,1.1263590892204618,2.132395653552411,4.0,2.594631671855725,1.545180693732835
A dim,3.6569718610458284,2.3072316241601603,1.730650507395964,2.442978870388049,1.7525508483447594,1.1036519889472507,0.9897327281210926,1.7134330091962564,2.8584917853248224,3.222461321234947,2.99068536178634,1.9526881435670982
A dim,3.5774934935647127,2.207452151683359,1.4309120801971056,2.3152965889976853,1.7301202241040188,0.8191729622819439,0.7776713524625536,1.3086709004467245,2.809078714912938,3.830192046596491,2.4715368616799056,2.0648247086034646
A dim,3.3427012593308207,2.0391213630862097,1.1811875460552037,2.2484401995867223,1.7944578293100655,0.7207383539380057,0.5538120878354962,0.987628814871866,2.5904115724774375,4.0,2.3964785755984317,1.6323382625892429
A dim,3.1929795842624973,1.895876742950662,1.0302677033248666,2.2042556442974934,1.8536039294904154,0.6483864220133196,0.4648572748754981,0.8831279547609,2.506212501840424,4.0,2.270695686377365,1.6180897450132947
A dim,3.1981191545431873,1.874040163598221,1.0551151219115729,2.1156920633275598,1.756037012131538,0.6178995444664263,0.4442293902763784,0.8725106362401918,2.553117303290334,4.0,2.084587954227386,1.5680373441716495
A dim,3.148021531535583,1.851720073897694,1.0105964535025567,2.0413680014374593,1.6507033627596446,0.5943158079591202,0.4390494776101436,0.8358823690464382,2.5107663070429687,4.0,2.1614114489589284,1.4759560463385173
A dim,3.187993701786596,1.8393978217085631,1.01757845532052,2.0495335158188723,1.6613575015794313,0.6003874213618696,0.43324098657602744,0.8166747034962192,2.4960031794124573,4.0,2.170596382448644,1.6146815715740306
A dim,3.323587989575314,1.9252683406400721,1.0446140015862657,2.199301122130653,1.8166155988254769,0.6393512900615336,0.4505410251508059,0.8197531593657332,2.533790891686926,4.0,2.030815700503591,1.6379967541229443
A dim,3.3347113671264808,1.9235245365795781,1.0120679162871031,2.286622385087802,1.9572240921019475,0.6687150374709118,0.4395906476220764,0.8029058631514315,2.4758296741779233,4.0,2.16373251278599,1.6270815859143462
A dim,3.4055183379459866,1.9451127204912804,1.0650743311313384,2.26748194740828,1.900373661476458,0.6820520703183749,0.45422908158343656,0.8090935244586672,2.449367121202364,4.0,2.208099002818633,1.7834739702183309
A dim,3.600338401928865,2.0983009334005236,1.1025514748162433,2.3090155865399975,1.9011413843968326,0.7177222083673297,0.47786295706685167,0.8553577639148989,2.505219390444443,3.9902447545323065,2.077176210166584,1.7892999592992385
A dim,3.638854872452127,2.143315259807531,1.1672757272151093,2.2304582594334734,1.931030577077952,0.7698965657958569,0.5154697947503031,0.8705741513268639,2.46603841885747,3.9902447545323065,2.1980993791551846,1.8379711299254147
A dim,3.683800690750038,2.197579106590011,1.1375535142082194,2.180286709653556,2.216260644724477,0.9933962417635649,0.6948493091299194,1.0427851983820857,2.4730437926090234,3.9902447545323065,2.3366531887634348,2.0768014800779584
A dim,3.5909098211378208,2.078623210430155,1.1910856607239297,2.261392353729051,2.6473156238659508,1.4140009153438875,1.0220870650073408,1.2695790901892143,2.4178529827079327,3.9902447545323065,2.3711821530722768,2.146217000887585
A dim,3.2988153872831516,2.4754419036118405,2.1284788844122775,2.1485370194336513,1.7911691133425325,1.2436247260072109,1.2683941709905076,1.8335190710397353,2.918201557645263,3.961007649405449,2.743437138496923,1.7651801020531832
A dim,2.9680902053775977,1.9702095115302547,1.440676233638401,2.1715139830109886,1.7587888000967253,0.9586994840733662,0.7453651408257114,1.1990504286989885,2.5012508588216154,4.0,2.611695160516993,1.6259415022871768
A dim,2.856691470856587,1.7287848446772887,1.2205059467810062,2.1950380567124483,1.749500360668747,0.8210306612161694,0.5709167138362791,0.9242906946120053,2.349963275551975,4.0,2.3644402060215457,1.4438601099873685
A dim,2.7103075221172106,1.6043146017615786,1.0868460423576867,2.1495367011453936,1.796526667942938,0.7582846659896764,0.48478553863808904,0.8060490915666013,2.2733917044584153,4.0,2.380636079517549,1.39370753190212
A dim,2.606884768751125,1.5367954921491058,0.9937740818867675,2.1180032287644557,1.798304686468244,0.7103839540683574,0.42879858166865686,0.7328762181318159,2.2336450001844774,4.0,2.390158681573496,1.2204515930099737
A dim,2.552393273648804,1.4757211582361778,0.9739371050427335,2.025272445543816,1.6758035047874336,0.6714674699611325,0.3755822820668111,0.6938234041597191,2.254443109297239,4.0,2.3010672651572355,1.2512601836569264
A dim,2.529605094438227,1.4753475517384853,0.9335503180560796,1.9293931148734749,1.5737341895396182,0.6250018361823839,0.36548533122214827,0.6688722845576648,2.264655632656572,4.0,2.2742570324091744,1.2418729952490608
A dim,2.443507958542023,1.417395008530171,0.9354327773144403,1.8860479327555966,1.5405747733455304,0.6146442819746878,0.33712257206455526,0.6564710432779198,2.2374632308997104,4.0,2.3260512399665316,1.119001840349487
A dim,2.4342915053116294,1.390096494426749,0.912116388371038,1.9182563308379348,1.609223891645621,0.6223098802132331,0.34223919744688003,0.6477641801324061,2.2449032640280606,4.0,2.3153712931909025,1.1734408602537294
A dim,2.4627142313169075,1.4230832521939036,0.9209303335331508,1.983129398574718,1.7075868996887178,0.6376323194336228,0.33429079736574246,0.6456991920852612,2.2486705219713756,4.0,2.2497893704077128,1.219178156064268
A dim,2.438387550395345,1.4184826759966178,0.9221683260084639,1.9028717102577082,1.6156140803189045,0.6271606647157406,0.33989842238134355,0.6380271933912927,2.209510369064548,4.0,2.317932133099775,1.126255398647216
A dim,2.4422103130076467,1.4593722257352955,0.9356204770280425,1.8028973924785117,1.5334677418508385,0.6402179560729575,0.3513567366478506,0.6393418266988912,2.20846327527566,4.0,2.291349187953689,1.2369081115049712
